fold,fold_count,sub_prog,count,proportion
1,1325,maj-e_2-1145-s_N,55,0.04150943396226415
1,1325,maj-e_2-1145-s_S,55,0.04150943396226415
1,1325,maj-e_2-1145-s_T,55,0.04150943396226415
1,1325,maj-e_2-1251-s_N,55,0.04150943396226415
1,1325,maj-e_2-1251-s_S,55,0.04150943396226415
1,1325,maj-e_2-1251-s_T,55,0.04150943396226415
1,1325,maj-e_2-1365-s_N,55,0.04150943396226415
1,1325,maj-e_2-1365-s_S,55,0.04150943396226415
1,1325,maj-e_2-1365-s_T,56,0.04226415094339622
1,1325,maj-e_2-1625-s_N,56,0.04226415094339622
1,1325,maj-e_2-1625-s_S,55,0.04150943396226415
1,1325,maj-e_2-1625-s_T,55,0.04150943396226415
1,1325,min-e_2-1145-s_N,55,0.04150943396226415
1,1325,min-e_2-1145-s_S,56,0.04226415094339622
1,1325,min-e_2-1145-s_T,55,0.04150943396226415
1,1325,min-e_2-1251-s_N,56,0.04226415094339622
1,1325,min-e_2-1251-s_S,55,0.04150943396226415
1,1325,min-e_2-1251-s_T,55,0.04150943396226415
1,1325,min-e_2-1365-s_N,55,0.04150943396226415
1,1325,min-e_2-1365-s_S,55,0.04150943396226415
1,1325,min-e_2-1365-s_T,55,0.04150943396226415
1,1325,min-e_2-1625-s_N,55,0.04150943396226415
1,1325,min-e_2-1625-s_S,55,0.04150943396226415
1,1325,min-e_2-1625-s_T,56,0.04226415094339622
2,1325,maj-e_2-1145-s_N,55,0.04150943396226415
2,1325,maj-e_2-1145-s_S,55,0.04150943396226415
2,1325,maj-e_2-1145-s_T,55,0.04150943396226415
2,1325,maj-e_2-1251-s_N,55,0.04150943396226415
2,1325,maj-e_2-1251-s_S,55,0.04150943396226415
2,1325,maj-e_2-1251-s_T,55,0.04150943396226415
2,1325,maj-e_2-1365-s_N,55,0.04150943396226415
2,1325,maj-e_2-1365-s_S,55,0.04150943396226415
2,1325,maj-e_2-1365-s_T,56,0.04226415094339622
2,1325,maj-e_2-1625-s_N,56,0.04226415094339622
2,1325,maj-e_2-1625-s_S,55,0.04150943396226415
2,1325,maj-e_2-1625-s_T,55,0.04150943396226415
2,1325,min-e_2-1145-s_N,55,0.04150943396226415
2,1325,min-e_2-1145-s_S,56,0.04226415094339622
2,1325,min-e_2-1145-s_T,55,0.04150943396226415
2,1325,min-e_2-1251-s_N,56,0.04226415094339622
2,1325,min-e_2-1251-s_S,55,0.04150943396226415
2,1325,min-e_2-1251-s_T,55,0.04150943396226415
2,1325,min-e_2-1365-s_N,55,0.04150943396226415
2,1325,min-e_2-1365-s_S,55,0.04150943396226415
2,1325,min-e_2-1365-s_T,55,0.04150943396226415
2,1325,min-e_2-1625-s_N,55,0.04150943396226415
2,1325,min-e_2-1625-s_S,55,0.04150943396226415
2,1325,min-e_2-1625-s_T,56,0.04226415094339622
3,1325,maj-e_2-1145-s_N,55,0.04150943396226415
3,1325,maj-e_2-1145-s_S,55,0.04150943396226415
3,1325,maj-e_2-1145-s_T,55,0.04150943396226415
3,1325,maj-e_2-1251-s_N,55,0.04150943396226415
3,1325,maj-e_2-1251-s_S,55,0.04150943396226415
3,1325,maj-e_2-1251-s_T,55,0.04150943396226415
3,1325,maj-e_2-1365-s_N,55,0.04150943396226415
3,1325,maj-e_2-1365-s_S,55,0.04150943396226415
3,1325,maj-e_2-1365-s_T,56,0.04226415094339622
3,1325,maj-e_2-1625-s_N,56,0.04226415094339622
3,1325,maj-e_2-1625-s_S,55,0.04150943396226415
3,1325,maj-e_2-1625-s_T,55,0.04150943396226415
3,1325,min-e_2-1145-s_N,55,0.04150943396226415
3,1325,min-e_2-1145-s_S,56,0.04226415094339622
3,1325,min-e_2-1145-s_T,55,0.04150943396226415
3,1325,min-e_2-1251-s_N,56,0.04226415094339622
3,1325,min-e_2-1251-s_S,55,0.04150943396226415
3,1325,min-e_2-1251-s_T,55,0.04150943396226415
3,1325,min-e_2-1365-s_N,55,0.04150943396226415
3,1325,min-e_2-1365-s_S,55,0.04150943396226415
3,1325,min-e_2-1365-s_T,55,0.04150943396226415
3,1325,min-e_2-1625-s_N,55,0.04150943396226415
3,1325,min-e_2-1625-s_S,55,0.04150943396226415
3,1325,min-e_2-1625-s_T,56,0.04226415094339622
4,1325,maj-e_2-1145-s_N,55,0.04150943396226415
4,1325,maj-e_2-1145-s_S,55,0.04150943396226415
4,1325,maj-e_2-1145-s_T,55,0.04150943396226415
4,1325,maj-e_2-1251-s_N,55,0.04150943396226415
4,1325,maj-e_2-1251-s_S,55,0.04150943396226415
4,1325,maj-e_2-1251-s_T,55,0.04150943396226415
4,1325,maj-e_2-1365-s_N,55,0.04150943396226415
4,1325,maj-e_2-1365-s_S,55,0.04150943396226415
4,1325,maj-e_2-1365-s_T,56,0.04226415094339622
4,1325,maj-e_2-1625-s_N,56,0.04226415094339622
4,1325,maj-e_2-1625-s_S,55,0.04150943396226415
4,1325,maj-e_2-1625-s_T,55,0.04150943396226415
4,1325,min-e_2-1145-s_N,55,0.04150943396226415
4,1325,min-e_2-1145-s_S,56,0.04226415094339622
4,1325,min-e_2-1145-s_T,55,0.04150943396226415
4,1325,min-e_2-1251-s_N,56,0.04226415094339622
4,1325,min-e_2-1251-s_S,55,0.04150943396226415
4,1325,min-e_2-1251-s_T,55,0.04150943396226415
4,1325,min-e_2-1365-s_N,55,0.04150943396226415
4,1325,min-e_2-1365-s_S,55,0.04150943396226415
4,1325,min-e_2-1365-s_T,55,0.04150943396226415
4,1325,min-e_2-1625-s_N,55,0.04150943396226415
4,1325,min-e_2-1625-s_S,55,0.04150943396226415
4,1325,min-e_2-1625-s_T,56,0.04226415094339622
5,1325,maj-e_2-1145-s_N,56,0.04226415094339622
5,1325,maj-e_2-1145-s_S,55,0.04150943396226415
5,1325,maj-e_2-1145-s_T,55,0.04150943396226415
5,1325,maj-e_2-1251-s_N,55,0.04150943396226415
5,1325,maj-e_2-1251-s_S,55,0.04150943396226415
5,1325,maj-e_2-1251-s_T,55,0.04150943396226415
5,1325,maj-e_2-1365-s_N,55,0.04150943396226415
5,1325,maj-e_2-1365-s_S,55,0.04150943396226415
5,1325,maj-e_2-1365-s_T,55,0.04150943396226415
5,1325,maj-e_2-1625-s_N,55,0.04150943396226415
5,1325,maj-e_2-1625-s_S,56,0.04226415094339622
5,1325,maj-e_2-1625-s_T,55,0.04150943396226415
5,1325,min-e_2-1145-s_N,55,0.04150943396226415
5,1325,min-e_2-1145-s_S,55,0.04150943396226415
5,1325,min-e_2-1145-s_T,56,0.04226415094339622
5,1325,min-e_2-1251-s_N,55,0.04150943396226415
5,1325,min-e_2-1251-s_S,56,0.04226415094339622
5,1325,min-e_2-1251-s_T,55,0.04150943396226415
5,1325,min-e_2-1365-s_N,56,0.04226415094339622
5,1325,min-e_2-1365-s_S,55,0.04150943396226415
5,1325,min-e_2-1365-s_T,55,0.04150943396226415
5,1325,min-e_2-1625-s_N,55,0.04150943396226415
5,1325,min-e_2-1625-s_S,55,0.04150943396226415
5,1325,min-e_2-1625-s_T,55,0.04150943396226415
6,1325,maj-e_2-1145-s_N,56,0.04226415094339622
6,1325,maj-e_2-1145-s_S,55,0.04150943396226415
6,1325,maj-e_2-1145-s_T,55,0.04150943396226415
6,1325,maj-e_2-1251-s_N,55,0.04150943396226415
6,1325,maj-e_2-1251-s_S,55,0.04150943396226415
6,1325,maj-e_2-1251-s_T,55,0.04150943396226415
6,1325,maj-e_2-1365-s_N,55,0.04150943396226415
6,1325,maj-e_2-1365-s_S,55,0.04150943396226415
6,1325,maj-e_2-1365-s_T,55,0.04150943396226415
6,1325,maj-e_2-1625-s_N,55,0.04150943396226415
6,1325,maj-e_2-1625-s_S,56,0.04226415094339622
6,1325,maj-e_2-1625-s_T,55,0.04150943396226415
6,1325,min-e_2-1145-s_N,55,0.04150943396226415
6,1325,min-e_2-1145-s_S,55,0.04150943396226415
6,1325,min-e_2-1145-s_T,56,0.04226415094339622
6,1325,min-e_2-1251-s_N,55,0.04150943396226415
6,1325,min-e_2-1251-s_S,56,0.04226415094339622
6,1325,min-e_2-1251-s_T,55,0.04150943396226415
6,1325,min-e_2-1365-s_N,56,0.04226415094339622
6,1325,min-e_2-1365-s_S,55,0.04150943396226415
6,1325,min-e_2-1365-s_T,55,0.04150943396226415
6,1325,min-e_2-1625-s_N,55,0.04150943396226415
6,1325,min-e_2-1625-s_S,55,0.04150943396226415
6,1325,min-e_2-1625-s_T,55,0.04150943396226415
7,1325,maj-e_2-1145-s_N,56,0.04226415094339622
7,1325,maj-e_2-1145-s_S,55,0.04150943396226415
7,1325,maj-e_2-1145-s_T,55,0.04150943396226415
7,1325,maj-e_2-1251-s_N,55,0.04150943396226415
7,1325,maj-e_2-1251-s_S,55,0.04150943396226415
7,1325,maj-e_2-1251-s_T,55,0.04150943396226415
7,1325,maj-e_2-1365-s_N,55,0.04150943396226415
7,1325,maj-e_2-1365-s_S,55,0.04150943396226415
7,1325,maj-e_2-1365-s_T,55,0.04150943396226415
7,1325,maj-e_2-1625-s_N,55,0.04150943396226415
7,1325,maj-e_2-1625-s_S,56,0.04226415094339622
7,1325,maj-e_2-1625-s_T,55,0.04150943396226415
7,1325,min-e_2-1145-s_N,55,0.04150943396226415
7,1325,min-e_2-1145-s_S,55,0.04150943396226415
7,1325,min-e_2-1145-s_T,56,0.04226415094339622
7,1325,min-e_2-1251-s_N,55,0.04150943396226415
7,1325,min-e_2-1251-s_S,56,0.04226415094339622
7,1325,min-e_2-1251-s_T,55,0.04150943396226415
7,1325,min-e_2-1365-s_N,56,0.04226415094339622
7,1325,min-e_2-1365-s_S,55,0.04150943396226415
7,1325,min-e_2-1365-s_T,55,0.04150943396226415
7,1325,min-e_2-1625-s_N,55,0.04150943396226415
7,1325,min-e_2-1625-s_S,55,0.04150943396226415
7,1325,min-e_2-1625-s_T,55,0.04150943396226415
8,1325,maj-e_2-1145-s_N,56,0.04226415094339622
8,1325,maj-e_2-1145-s_S,55,0.04150943396226415
8,1325,maj-e_2-1145-s_T,55,0.04150943396226415
8,1325,maj-e_2-1251-s_N,55,0.04150943396226415
8,1325,maj-e_2-1251-s_S,55,0.04150943396226415
8,1325,maj-e_2-1251-s_T,55,0.04150943396226415
8,1325,maj-e_2-1365-s_N,55,0.04150943396226415
8,1325,maj-e_2-1365-s_S,55,0.04150943396226415
8,1325,maj-e_2-1365-s_T,55,0.04150943396226415
8,1325,maj-e_2-1625-s_N,55,0.04150943396226415
8,1325,maj-e_2-1625-s_S,56,0.04226415094339622
8,1325,maj-e_2-1625-s_T,55,0.04150943396226415
8,1325,min-e_2-1145-s_N,55,0.04150943396226415
8,1325,min-e_2-1145-s_S,55,0.04150943396226415
8,1325,min-e_2-1145-s_T,56,0.04226415094339622
8,1325,min-e_2-1251-s_N,55,0.04150943396226415
8,1325,min-e_2-1251-s_S,56,0.04226415094339622
8,1325,min-e_2-1251-s_T,55,0.04150943396226415
8,1325,min-e_2-1365-s_N,56,0.04226415094339622
8,1325,min-e_2-1365-s_S,55,0.04150943396226415
8,1325,min-e_2-1365-s_T,55,0.04150943396226415
8,1325,min-e_2-1625-s_N,55,0.04150943396226415
8,1325,min-e_2-1625-s_S,55,0.04150943396226415
8,1325,min-e_2-1625-s_T,55,0.04150943396226415
9,1325,maj-e_2-1145-s_N,55,0.04150943396226415
9,1325,maj-e_2-1145-s_S,56,0.04226415094339622
9,1325,maj-e_2-1145-s_T,55,0.04150943396226415
9,1325,maj-e_2-1251-s_N,56,0.04226415094339622
9,1325,maj-e_2-1251-s_S,55,0.04150943396226415
9,1325,maj-e_2-1251-s_T,55,0.04150943396226415
9,1325,maj-e_2-1365-s_N,55,0.04150943396226415
9,1325,maj-e_2-1365-s_S,55,0.04150943396226415
9,1325,maj-e_2-1365-s_T,55,0.04150943396226415
9,1325,maj-e_2-1625-s_N,55,0.04150943396226415
9,1325,maj-e_2-1625-s_S,55,0.04150943396226415
9,1325,maj-e_2-1625-s_T,56,0.04226415094339622
9,1325,min-e_2-1145-s_N,55,0.04150943396226415
9,1325,min-e_2-1145-s_S,55,0.04150943396226415
9,1325,min-e_2-1145-s_T,55,0.04150943396226415
9,1325,min-e_2-1251-s_N,55,0.04150943396226415
9,1325,min-e_2-1251-s_S,55,0.04150943396226415
9,1325,min-e_2-1251-s_T,56,0.04226415094339622
9,1325,min-e_2-1365-s_N,55,0.04150943396226415
9,1325,min-e_2-1365-s_S,56,0.04226415094339622
9,1325,min-e_2-1365-s_T,55,0.04150943396226415
9,1325,min-e_2-1625-s_N,55,0.04150943396226415
9,1325,min-e_2-1625-s_S,55,0.04150943396226415
9,1325,min-e_2-1625-s_T,55,0.04150943396226415
10,1325,maj-e_2-1145-s_N,55,0.04150943396226415
10,1325,maj-e_2-1145-s_S,56,0.04226415094339622
10,1325,maj-e_2-1145-s_T,55,0.04150943396226415
10,1325,maj-e_2-1251-s_N,56,0.04226415094339622
10,1325,maj-e_2-1251-s_S,55,0.04150943396226415
10,1325,maj-e_2-1251-s_T,55,0.04150943396226415
10,1325,maj-e_2-1365-s_N,55,0.04150943396226415
10,1325,maj-e_2-1365-s_S,55,0.04150943396226415
10,1325,maj-e_2-1365-s_T,55,0.04150943396226415
10,1325,maj-e_2-1625-s_N,55,0.04150943396226415
10,1325,maj-e_2-1625-s_S,55,0.04150943396226415
10,1325,maj-e_2-1625-s_T,56,0.04226415094339622
10,1325,min-e_2-1145-s_N,55,0.04150943396226415
10,1325,min-e_2-1145-s_S,55,0.04150943396226415
10,1325,min-e_2-1145-s_T,55,0.04150943396226415
10,1325,min-e_2-1251-s_N,55,0.04150943396226415
10,1325,min-e_2-1251-s_S,55,0.04150943396226415
10,1325,min-e_2-1251-s_T,56,0.04226415094339622
10,1325,min-e_2-1365-s_N,55,0.04150943396226415
10,1325,min-e_2-1365-s_S,56,0.04226415094339622
10,1325,min-e_2-1365-s_T,55,0.04150943396226415
10,1325,min-e_2-1625-s_N,55,0.04150943396226415
10,1325,min-e_2-1625-s_S,55,0.04150943396226415
10,1325,min-e_2-1625-s_T,55,0.04150943396226415
11,1325,maj-e_2-1145-s_N,55,0.04150943396226415
